Plot,Rep,Flood_Condition,Genotype,Num_Emerged,Primary_Root_Length
1,1,100%,N8002,,
2,1,100%,S11-25615,,
3,1,100%,N11-10295,,
4,1,100%,N11-7595,,
5,1,100%,NC-Dunphy,,
6,1,100%,N07-15307,,
7,1,100%,N05-7380,,
8,1,100%,N11-7620,,
9,1,100%,NC-Raleigh,,
10,1,100%,Dillon,,
11,1,100%,N10-792,,
12,1,100%,N14-8537,,
13,1,100%,N06-7164,,
14,1,100%,N11-7414,,
15,1,100%,Holladay,,
16,1,100%,N09-13890,,
17,1,100%,N11-352,,
18,1,100%,RM-22590,,
19,1,100%,N11-7433,,
20,1,100%,TCHM06-Morph-204,,
21,2,100%,N11-7620,,
22,2,100%,NC-Raleigh,,
23,2,100%,N11-7433,,
24,2,100%,RM-22590,,
25,2,100%,Dillon,,
26,2,100%,N09-13890,,
27,2,100%,TCHM06-Morph-204,,
28,2,100%,N8002,,
29,2,100%,S11-25615,,
30,2,100%,N06-7164,,
31,2,100%,NC-Dunphy,,
32,2,100%,N11-7595,,
33,2,100%,N07-15307,,
34,2,100%,N05-7380,,
35,2,100%,Holladay,,
36,2,100%,N10-792,,
37,2,100%,N11-7414,,
38,2,100%,N14-8537,,
39,2,100%,N11-10295,,
40,2,100%,N11-352,,
41,3,100%,TCHM06-Morph-204,,
42,3,100%,N14-8537,,
43,3,100%,N06-7164,,
44,3,100%,N11-7620,,
45,3,100%,N11-10295,,
46,3,100%,Dillon,,
47,3,100%,N11-7595,,
48,3,100%,N05-7380,,
49,3,100%,N8002,,
50,3,100%,N11-7433,,
51,3,100%,S11-25615,,
52,3,100%,NC-Raleigh,,
53,3,100%,N11-7414,,
54,3,100%,N07-15307,,
55,3,100%,NC-Dunphy,,
56,3,100%,RM-22590,,
57,3,100%,Holladay,,
58,3,100%,N10-792,,
59,3,100%,N11-352,,
60,3,100%,N09-13890,,
61,4,100%,N11-7414,,
62,4,100%,N06-7164,,
63,4,100%,N11-7433,,
64,4,100%,N10-792,,
65,4,100%,TCHM06-Morph-204,,
66,4,100%,Holladay,,
67,4,100%,N11-10295,,
68,4,100%,S11-25615,,
69,4,100%,NC-Dunphy,,
70,4,100%,N11-352,,
71,4,100%,NC-Raleigh,,
72,4,100%,RM-22590,,
73,4,100%,N09-13890,,
74,4,100%,N07-15307,,
75,4,100%,N11-7620,,
76,4,100%,N11-7595,,
77,4,100%,N14-8537,,
78,4,100%,N05-7380,,
79,4,100%,Dillon,,
80,4,100%,N8002,,
1,1,80%,N11-7620,,
2,1,80%,N07-15307,,
3,1,80%,N11-10295,,
4,1,80%,RM-22590,,
5,1,80%,NC-Dunphy,,
6,1,80%,N11-352,,
7,1,80%,N10-792,,
8,1,80%,N8002,,
9,1,80%,N11-7414,,
10,1,80%,TCHM06-Morph-204,,
11,1,80%,N05-7380,,
12,1,80%,N11-7433,,
13,1,80%,S11-25615,,
14,1,80%,N11-7595,,
15,1,80%,N14-8537,,
16,1,80%,N09-13890,,
17,1,80%,NC-Raleigh,,
18,1,80%,Holladay,,
19,1,80%,Dillon,,
